Weight,Height,Age,Gender,Activity level,Eating preference,BMI_Category
91,5.4,30,Female,Lightly Active,Non Vegetarian,Obese
82,5.7,28,Female,Moderately Active,Eggetarian,Overweight
77,5.5,29,Female,Lightly Active,Non Vegetarian,Overweight
82,5.4,35,Female,Very Active,Vegetarian,Obese
80,5.5,33,Female,Moderately Active,Vegan,Overweight
77,5.3,31,Female,Moderately Active,Vegetarian,Overweight
61,5.2,45,Female,Moderately Active,Non Vegetarian,Normal
80,5,32,Female,Sedentary,Non Vegetarian,Obese
76,5.4,24,Female,Sedentary,Vegetarian,Overweight
97,5.44,32,Female,Lightly Active,Eggetarian,Obese
74.8,5.1,28,Female,Sedentary,Vegetarian,Obese
74.8,5.1,28,Female,Sedentary,Vegetarian,Obese
65,5.5,24,Female,Sedentary,Non Vegetarian,Normal
67.7,5.4,27,Female,Sedentary,Non Vegetarian,Normal
69,5.6,42,Female,Moderately Active,Eggetarian,Normal
96,5.7,32,Male,Lightly Active,Vegetarian,Obese
118.5,5.8,44,Male,Sedentary,Non Vegetarian,Obese
82,5.25,26,Female,Sedentary,Eggetarian,Obese
118.5,5.8,44,Male,Sedentary,Non Vegetarian,Obese
66,5.4,32,Female,Moderately Active,Eggetarian,Normal
65,5.2,31,Female,Sedentary,Vegetarian,Overweight
89,5.5,36,Female,Lightly Active,Non Vegetarian,Obese
85,5.7,32,Female,Lightly Active,Vegetarian,Overweight
94.5,5.7,26,Female,Sedentary,Eggetarian,Obese
72,5.6,28,Female,Lightly Active,Eggetarian,Normal
79,5.8,24,Female,Lightly Active,Eggetarian,Overweight
85,5.2,36,Female,Moderately Active,Vegetarian,Obese
78.7,5.6,33,Female,Moderately Active,Eggetarian,Overweight
70,5.3,22,Female,Sedentary,Vegetarian,Overweight
69,5.4,35,Female,Lightly Active,Non Vegetarian,Overweight
92,5.8,32,Male,Sedentary,Vegetarian,Overweight
74,5.2,24,Female,Lightly Active,Eggetarian,Overweight
108.5,5,42,Female,Sedentary,Vegetarian,Obese
75,5.4,39,Female,Lightly Active,Eggetarian,Overweight
64.8,5.6,25,Female,Moderately Active,Vegetarian,Normal
79.8,5.5,30,Female,Lightly Active,Vegetarian,Overweight
103,5.3,31,Female,Sedentary,Non Vegetarian,Obese
76,5.4,21,Female,Lightly Active,Non Vegetarian,Overweight
78,5.6,32,Female,Sedentary,Non Vegetarian,Overweight
118.5,5.7,38,Female,Moderately Active,Non Vegetarian,Obese
71.6,5.3,44,Female,Lightly Active,Eggetarian,Overweight
71,5.4,27,Female,Sedentary,Vegetarian,Overweight
95,5.4,30,Female,Sedentary,Non Vegetarian,Obese
67,5,28,Female,Sedentary,Eggetarian,Overweight
76,5.4,39,Female,Sedentary,Non Vegetarian,Overweight
83,5.3,36,Female,Sedentary,Eggetarian,Obese
81,5.4,40,Female,Moderately Active,Non Vegetarian,Overweight
115,5.1,37,Female,Very Active,Non Vegetarian,Obese
77,5.3,38,Female,Sedentary,Non Vegetarian,Overweight
81,5.2,27,Female,Lightly Active,Non Vegetarian,Obese
80,5.2,41,Female,Lightly Active,Vegetarian,Obese
90,5.4,50.5,Female,Lightly Active,Eggetarian,Obese
107,5.6,35,Female,Sedentary,Non Vegetarian,Obese
72,5.1,34,Female,Sedentary,Non Vegetarian,Overweight
79.8,5.5,28,Female,Moderately Active,Non Vegetarian,Overweight
72,5.3,36,Female,Sedentary,Vegetarian,Overweight
76.4,5.5,29,Female,Sedentary,Eggetarian,Overweight
77,5,36,Female,Moderately Active,Non Vegetarian,Obese
79,5.9,29,Male,Sedentary,Non Vegetarian,Normal
63,5.1,34,Female,Lightly Active,Vegetarian,Overweight
66,4.75,26,Female,Sedentary,Non Vegetarian,Obese
70,5.2,43,Female,Moderately Active,Non Vegetarian,Overweight
63.45,5.1,31,Female,Sedentary,Non Vegetarian,Overweight
71,5.4,37,Female,Very Active,Non Vegetarian,Overweight
68,5.4,31,Female,Lightly Active,Non Vegetarian,Overweight
73,5.5,26,Female,Sedentary,Vegetarian,Overweight
96,5.8,31,Male,Sedentary,Non Vegetarian,Obese
109,5.6,47,Female,Moderately Active,Non Vegetarian,Obese
75,5.1,25,Female,Lightly Active,Non Vegetarian,Obese
85,5.2,45,Female,Sedentary,Eggetarian,Obese
70,5.4,50.5,Female,Moderately Active,Eggetarian,Overweight
90,5.9,40,Male,Sedentary,Non Vegetarian,Overweight
90,5.6,35,Female,Lightly Active,Eggetarian,Obese
63.5,5.4,25,Female,Sedentary,Non Vegetarian,Normal
63,5.1,44,Female,Lightly Active,Vegetarian,Overweight
77,5.6,39,Female,Lightly Active,Vegetarian,Overweight
92,5.11,33,Male,Lightly Active,Vegetarian,Obese
99,5.7,32,Female,Sedentary,Non Vegetarian,Obese
64,5.2,29,Female,Moderately Active,Eggetarian,Overweight
68,5.1,26,Female,Moderately Active,Non Vegetarian,Overweight
81,5.5,26,Female,Sedentary,Eggetarian,Overweight
80,5.4,47,Female,Moderately Active,Non Vegetarian,Overweight
73,5.2,30,Female,Lightly Active,Vegetarian,Overweight
71.5,4.9,27,Female,Lightly Active,Eggetarian,Obese
70,5.2,36,Female,Sedentary,Non Vegetarian,Overweight
98.7,5.6,33,Female,Very Active,Non Vegetarian,Obese
81,5.7,29,Female,Lightly Active,Non Vegetarian,Overweight
70,5.2,25,Female,Sedentary,Vegetarian,Overweight
98,5.5,29,Female,Moderately Active,Eggetarian,Obese
83,4.75,31,Female,Sedentary,Vegetarian,Obese
69.2,5.08,44,Female,Lightly Active,Eggetarian,Overweight
94,5.3,32,Female,Sedentary,Non Vegetarian,Obese
109,5.3,23,Female,Sedentary,Eggetarian,Obese
85,5.2,34,Female,Moderately Active,Non Vegetarian,Obese
99.7,5.3,36,Female,Sedentary,Vegetarian,Obese
59,5.2,32,Female,Lightly Active,Vegetarian,Normal
58.25,5.7,29,Female,Lightly Active,Vegetarian,Normal
85,5.4,39,Female,Lightly Active,Non Vegetarian,Obese
63,5,33,Female,Moderately Active,Non Vegetarian,Overweight
66.6,5.4,37,Female,Lightly Active,Non Vegetarian,Normal
65,5,26,Female,Sedentary,Eggetarian,Overweight
64.1,5.4,37,Female,Lightly Active,Vegetarian,Normal
81,5.3,38,Female,Sedentary,Non Vegetarian,Obese
95,5.4,50.5,Female,Lightly Active,Vegetarian,Obese
60,5.1,34,Female,Moderately Active,Vegetarian,Normal
81.5,5.5,31,Female,Sedentary,Eggetarian,Overweight
78,5.47,43,Female,Lightly Active,Non Vegetarian,Overweight
68,5.1,25,Female,Lightly Active,Vegetarian,Overweight
54,5,27,Female,Sedentary,Eggetarian,Normal
70,5.3,37,Female,Lightly Active,Non Vegetarian,Overweight
77,5.3,36,Female,Lightly Active,Non Vegetarian,Overweight
84,5.5,26,Female,Lightly Active,Eggetarian,Overweight
69.5,5.3,33,Female,Sedentary,Eggetarian,Overweight
118.5,5.5,38,Female,Lightly Active,Non Vegetarian,Obese
88,5.4,40,Female,Sedentary,Eggetarian,Obese
65,5.3,24,Female,Lightly Active,Non Vegetarian,Normal
93.5,5,40,Female,Sedentary,Non Vegetarian,Obese
55.88,5.1,33,Female,Lightly Active,Vegetarian,Normal
94.5,5.4,38,Female,Sedentary,Eggetarian,Obese
87,5.5,31,Female,Lightly Active,Non Vegetarian,Obese
72.45,5.6,32,Female,Sedentary,Eggetarian,Normal
77,5.3,28,Female,Moderately Active,Non Vegetarian,Overweight
54.75,5.2,25,Female,Lightly Active,Non Vegetarian,Normal
81,5.4,37,Female,Lightly Active,Non Vegetarian,Overweight
98,5.3,29,Female,Lightly Active,Non Vegetarian,Obese
97.4,5.6,35,Female,Lightly Active,Vegetarian,Obese
87,5.2,40,Female,Moderately Active,Non Vegetarian,Obese
60,5.2,27,Female,Lightly Active,Eggetarian,Normal
82,5.6,39,Female,Sedentary,Vegetarian,Overweight
88,5.3,45,Female,Moderately Active,Eggetarian,Obese
80,5.1,34,Female,Lightly Active,Vegetarian,Obese
70,5.4,31,Female,Moderately Active,Vegetarian,Overweight
96,5.5,42,Female,Moderately Active,Vegetarian,Obese
71,5.2,24,Female,Sedentary,Vegetarian,Overweight
83.5,5.4,30,Female,Lightly Active,Non Vegetarian,Obese
74,5.4,27,Female,Moderately Active,Non Vegetarian,Overweight
72,5,39,Female,Moderately Active,Non Vegetarian,Obese
75,5,30,Female,Lightly Active,Non Vegetarian,Obese
80,5.4,36,Female,Sedentary,Non Vegetarian,Overweight
82.5,5.2,26,Female,Lightly Active,Non Vegetarian,Obese
74,5.2,32,Female,Moderately Active,Eggetarian,Overweight
81,5.1,32,Female,Lightly Active,Non Vegetarian,Obese
86,5.7,18,Female,Moderately Active,Vegetarian,Overweight
67.5,5.2,40,Female,Moderately Active,Non Vegetarian,Overweight
86,5.3,33,Female,Very Active,Vegetarian,Obese
76.1,5,31,Female,Moderately Active,Eggetarian,Obese
91,5.4,32,Female,Sedentary,Eggetarian,Obese
80,5.3,31,Female,Sedentary,Vegetarian,Obese
69,5.3,37,Female,Sedentary,Eggetarian,Overweight
86,5.4,47,Female,Sedentary,Vegetarian,Obese
78.5,5.6,35,Female,Lightly Active,Vegetarian,Overweight
82,4.9,26,Female,Sedentary,Non Vegetarian,Obese
95,5.6,36,Female,Sedentary,Vegetarian,Obese
75,5.1,29,Female,Lightly Active,Non Vegetarian,Obese
107,5.1,33,Female,Lightly Active,Vegetarian,Obese
63,5.6,39,Female,Moderately Active,Non Vegetarian,Normal
82,5.6,31,Female,Sedentary,Non Vegetarian,Overweight
95,5.6,36,Female,Sedentary,Vegetarian,Obese
88,5.4,34,Female,Sedentary,Vegetarian,Obese
82.8,5.5,26,Female,Lightly Active,Eggetarian,Overweight
75,5.3,27,Female,Moderately Active,Vegetarian,Overweight
83,5.6,26,Female,Sedentary,Vegetarian,Overweight
75,5.3,28,Female,Lightly Active,Non Vegetarian,Overweight
70.8,5.4,29,Female,Sedentary,Non Vegetarian,Overweight
104.2,5.7,33,Female,Sedentary,Non Vegetarian,Obese
69,5.3,37,Female,Sedentary,Vegetarian,Overweight
42.5,5.5,31,Female,Sedentary,Non Vegetarian,Underweight
70,5.5,30,Female,Sedentary,Non Vegetarian,Normal
57,5,43,Female,Moderately Active,Non Vegetarian,Normal
80,5.2,32,Female,Sedentary,Eggetarian,Obese
61.8,5.2,34,Female,Moderately Active,Vegetarian,Normal
110,5.8,47,Female,Sedentary,Non Vegetarian,Obese
118.5,5.4,28,Female,Lightly Active,Vegetarian,Obese
75,5.7,24,Female,Sedentary,Vegetarian,Normal
69,5,31,Female,Lightly Active,Non Vegetarian,Overweight
94,5.6,28,Female,Sedentary,Vegetarian,Obese
88,5.1,35,Female,Moderately Active,Vegetarian,Obese
63,5.3,25,Female,Lightly Active,Eggetarian,Normal
89,5.2,40,Female,Very Active,Non Vegetarian,Obese
64,5.3,32,Female,Sedentary,Vegetarian,Normal
77,5.2,31,Female,Lightly Active,Eggetarian,Obese
60,5.2,31,Female,Sedentary,Vegetarian,Normal
67,5.6,35,Female,Moderately Active,Non Vegetarian,Normal
60,5.2,31,Female,Sedentary,Vegetarian,Normal
78.2,5.1,27,Female,Sedentary,Eggetarian,Obese
79.1,5.5,32,Female,Sedentary,Non Vegetarian,Overweight
89,5.4,30,Female,Moderately Active,Eggetarian,Obese
84.55,5.4,30,Male,Lightly Active,Non Vegetarian,Obese
79.2,5.2,24,Female,Moderately Active,Vegetarian,Obese
65.7,5,27,Female,Lightly Active,Vegetarian,Overweight
58,5.4,30,Female,Lightly Active,Vegetarian,Normal
71,5.4,31,Female,Lightly Active,Vegetarian,Overweight
95,5.9,29,Female,Lightly Active,Eggetarian,Overweight
66,5.4,28,Female,Moderately Active,Vegetarian,Normal
68,5,25,Female,Sedentary,Vegetarian,Overweight
72,5.9,38,Female,Moderately Active,Non Vegetarian,Normal
85,5.2,39,Female,Sedentary,Non Vegetarian,Obese
107,5.1,39,Female,Sedentary,Non Vegetarian,Obese
107,5.1,39,Female,Sedentary,Non Vegetarian,Obese
76,5.3,28,Female,Sedentary,Non Vegetarian,Overweight
88,5.4,47,Female,Moderately Active,Vegetarian,Obese
72,5.6,43,Female,Sedentary,Eggetarian,Normal
72,5.2,38,Female,Sedentary,Vegan,Overweight
91.6,5.7,32,Female,Lightly Active,Non Vegetarian,Obese
79,5.7,26,Female,Sedentary,Eggetarian,Overweight
69.3,5.1,35,Female,Moderately Active,Non Vegetarian,Overweight
78,5.2,30,Female,Moderately Active,Non Vegetarian,Obese
63.6,5.4,27,Female,Lightly Active,Eggetarian,Normal
85,5.3,46,Female,Moderately Active,Vegetarian,Obese
84,5.1,34,Female,Sedentary,Non Vegetarian,Obese
66.95,5.2,24,Female,Sedentary,Non Vegetarian,Overweight
75,5,37,Female,Sedentary,Non Vegetarian,Obese
97,5.3,32,Female,Sedentary,Vegetarian,Obese
74,5.3,28,Female,Sedentary,Non Vegetarian,Overweight
74,5.1,31,Female,Very Active,Eggetarian,Obese
97,5.7,30,Female,Lightly Active,Non Vegetarian,Obese
100,5.4,26,Female,Lightly Active,Eggetarian,Obese
68,5.2,32,Female,Moderately Active,Eggetarian,Overweight
63,5.1,29,Female,Sedentary,Vegetarian,Overweight
93,5.3,34,Female,Moderately Active,Vegetarian,Obese
87,5.5,39,Female,Lightly Active,Non Vegetarian,Obese
83,5.5,39,Female,Moderately Active,Non Vegetarian,Overweight
78,5.8,33,Female,Lightly Active,Non Vegetarian,Normal
74.6,5.3,26,Female,Lightly Active,Non Vegetarian,Overweight
74.6,5.3,26,Female,Lightly Active,Non Vegetarian,Overweight
80.6,5.3,24,Female,Sedentary,Vegetarian,Obese
85,5.3,21,Female,Moderately Active,Vegetarian,Obese
71,5.11,27,Female,Lightly Active,Non Vegetarian,Overweight
94,5.5,26,Female,Moderately Active,Vegetarian,Obese
70,5.3,37,Female,Lightly Active,Non Vegetarian,Overweight
60,5.3,27,Female,Lightly Active,Vegetarian,Normal
102,5.2,42,Female,Lightly Active,Vegetarian,Obese
105.9,5.4,43,Female,Moderately Active,Non Vegetarian,Obese
60,5.1,29,Female,Sedentary,Non Vegetarian,Normal
94,5.7,32,Female,Lightly Active,Non Vegetarian,Obese
76,5.3,29,Female,Lightly Active,Non Vegetarian,Overweight
88.3,5.4,30,Female,Lightly Active,Non Vegetarian,Obese
68.5,5.3,23,Female,Lightly Active,Vegetarian,Overweight
98,5.5,34,Female,Moderately Active,Vegetarian,Obese
86,5.3,26,Female,Sedentary,Non Vegetarian,Obese
94,5.3,35,Female,Lightly Active,Non Vegetarian,Obese
84.5,5.6,28,Female,Lightly Active,Eggetarian,Overweight
66.7,5.6,26,Female,Lightly Active,Vegetarian,Normal
93,5.2,34,Female,Lightly Active,Non Vegetarian,Obese
71.5,5.1,27,Female,Lightly Active,Eggetarian,Overweight
67,5.2,40,Female,Moderately Active,Non Vegetarian,Overweight
103,5.4,29,Female,Sedentary,Non Vegetarian,Obese
97.2,5.6,38,Female,Moderately Active,Eggetarian,Obese
66,5.4,24,Female,Moderately Active,Non Vegetarian,Normal
56,4.75,27,Female,Moderately Active,Vegetarian,Obese
66.8,5.1,27,Female,Moderately Active,Non Vegetarian,Overweight
68,5.4,28,Female,Lightly Active,Eggetarian,Overweight
100,5.8,43,Male,Sedentary,Eggetarian,Obese
100,5.8,43,Male,Sedentary,Eggetarian,Obese
95,5.8,37,Male,Moderately Active,Vegetarian,Obese
75,5.4,50.5,Female,Lightly Active,Vegetarian,Overweight
63.5,5.1,35,Female,Sedentary,Non Vegetarian,Overweight
96,5.2,24,Female,Sedentary,Non Vegetarian,Obese
62.5,5.3,30,Female,Sedentary,Vegetarian,Normal
59,5.2,26,Female,Sedentary,Vegetarian,Normal
86,5.6,32,Female,Sedentary,Vegetarian,Overweight
75,5.4,24,Female,Sedentary,Non Vegetarian,Overweight
68,5.1,25,Female,Very Active,Eggetarian,Overweight
83,5.2,35,Female,Lightly Active,Vegetarian,Obese
86,5.3,34,Female,Moderately Active,Eggetarian,Obese
82,5.3,36,Female,Sedentary,Non Vegetarian,Obese
71.5,5.4,39,Female,Very Active,Vegetarian,Overweight
88,5.5,37,Female,Sedentary,Non Vegetarian,Obese
83,5.5,33,Female,Moderately Active,Eggetarian,Overweight
74,5.7,30,Female,Moderately Active,Eggetarian,Normal
102,5.3,29,Female,Sedentary,Non Vegetarian,Obese
118.5,5.6,23,Female,Moderately Active,Vegetarian,Obese
65,5,37,Female,Sedentary,Vegetarian,Overweight
63.7,5.1,31,Female,Moderately Active,Non Vegetarian,Overweight
79,5.7,34,Female,Sedentary,Non Vegetarian,Overweight
118.5,5.7,27,Female,Moderately Active,Vegetarian,Obese
93,5.4,39,Female,Lightly Active,Vegetarian,Obese
108,5.4,31,Female,Sedentary,Non Vegetarian,Obese
69,5.4,38,Female,Sedentary,Non Vegetarian,Overweight
85,5.2,26,Female,Very Active,Eggetarian,Obese
88,5.5,34,Female,Moderately Active,Non Vegetarian,Obese
55.5,5.4,41,Female,Moderately Active,Eggetarian,Normal
70,5,36,Female,Moderately Active,Vegetarian,Obese
97,5.2,39,Female,Very Active,Non Vegetarian,Obese
66,5.6,42,Female,Sedentary,Eggetarian,Normal
73,5.4,32,Female,Lightly Active,Vegetarian,Overweight
66,5.6,42,Female,Sedentary,Eggetarian,Normal
62.2,4.8,33,Female,Lightly Active,Eggetarian,Overweight
92,5.6,38,Female,Lightly Active,Eggetarian,Obese
74,5.4,39,Female,Lightly Active,Non Vegetarian,Overweight
80,5.3,40,Female,Moderately Active,Non Vegetarian,Obese
78,5.2,40,Female,Moderately Active,Non Vegetarian,Obese
55,5.5,34,Female,Lightly Active,Eggetarian,Normal
55,5.5,34,Female,Lightly Active,Eggetarian,Normal
55,5.5,34,Female,Lightly Active,Eggetarian,Normal
55,5.5,34,Female,Lightly Active,Eggetarian,Normal
81,5.4,29,Female,Moderately Active,Eggetarian,Overweight
68,5.4,38,Female,Sedentary,Non Vegetarian,Overweight
63.5,5.4,25,Female,Lightly Active,Non Vegetarian,Normal
76,5.7,30,Female,Sedentary,Vegetarian,Overweight
72,5.4,33,Female,Lightly Active,Non Vegetarian,Overweight
79,5.3,38,Female,Sedentary,Non Vegetarian,Obese
74,5.4,32,Female,Sedentary,Eggetarian,Overweight
96,5.5,27,Male,Sedentary,Eggetarian,Obese
64,5.3,36,Female,Lightly Active,Eggetarian,Normal
72,5.1,30,Female,Sedentary,Non Vegetarian,Overweight
88,5.3,31,Female,Lightly Active,Non Vegetarian,Obese
88,5.3,31,Female,Lightly Active,Non Vegetarian,Obese
80,5.1,32,Female,Lightly Active,Non Vegetarian,Obese
88.2,5.3,33,Female,Sedentary,Eggetarian,Obese
83,5.3,50.5,Female,Sedentary,Non Vegetarian,Obese
75,5.7,30,Female,Sedentary,Vegetarian,Normal
96,5,50.5,Female,Sedentary,Non Vegetarian,Obese
108,5.1,28,Female,Lightly Active,Vegetarian,Obese
108,5.1,28,Female,Lightly Active,Vegetarian,Obese
96.3,5.6,23,Female,Lightly Active,Vegetarian,Obese
70,5.6,31,Female,Lightly Active,Non Vegetarian,Normal
71,5.1,34,Female,Lightly Active,Non Vegetarian,Overweight
80.25,5.2,23,Female,Sedentary,Non Vegetarian,Obese
75,5.1,34,Female,Sedentary,Vegetarian,Obese
58.2,5.2,26,Female,Sedentary,Non Vegetarian,Normal
81,5.3,40,Female,Sedentary,Vegetarian,Obese
69,5.3,32,Female,Moderately Active,Eggetarian,Overweight
65,5.3,35,Female,Lightly Active,Non Vegetarian,Normal
65,5.7,30,Female,Sedentary,Vegetarian,Normal
72,5.2,33,Female,Moderately Active,Vegetarian,Overweight
107,5.5,36,Female,Lightly Active,Non Vegetarian,Obese
67,5.2,36,Female,Moderately Active,Non Vegetarian,Overweight
88,5.1,34,Female,Sedentary,Non Vegetarian,Obese
77,5.4,27,Female,Lightly Active,Vegetarian,Overweight
81,5.2,42,Female,Lightly Active,Vegetarian,Obese
88,5.5,43,Female,Sedentary,Eggetarian,Obese
42.5,5.5,38,Female,Sedentary,Non Vegetarian,Underweight
82,5.4,30,Female,Sedentary,Vegetarian,Obese
112,5,34,Female,Sedentary,Non Vegetarian,Obese
54.2,4.9,50.5,Female,Lightly Active,Vegetarian,Normal
80,5.7,23,Female,Sedentary,Vegetarian,Obese
80,5.7,23,Female,Sedentary,Vegetarian,Obese
77,5.1,33,Female,Sedentary,Non Vegetarian,Obese
85.2,5.3,24,Female,Sedentary,Non Vegetarian,Obese
72,5.4,36,Female,Moderately Active,Non Vegetarian,Overweight
71,5.4,30,Female,Moderately Active,Vegetarian,Overweight
62,5,29,Female,Sedentary,Vegan,Overweight
87,5.5,33,Female,Lightly Active,Non Vegetarian,Obese
62,5,29,Female,Sedentary,Vegan ,Overweight
67.5,5.1,34,Female,Lightly Active,Non Vegetarian,Overweight
75,5.1,41,Female,Lightly Active,Non Vegetarian,Obese
75,5.08,40,Female,Lightly Active,Eggetarian,Obese
76,5.4,35,Female,Sedentary,Eggetarian,Overweight
48.7,4.75,40,Female,Sedentary,Vegetarian,Obese
73,5.6,50.5,Female,Lightly Active,Non Vegetarian,Overweight
78.9,5.5,28,Female,Sedentary,Vegetarian,Overweight
80,5.5,25,Male,Sedentary,Non Vegetarian,Obese
79,5.3,31,Female,Lightly Active,Non Vegetarian,Obese
82,5.05,37,Female,Lightly Active,Non Vegetarian,Obese
71,5.2,27,Female,Sedentary,Vegetarian,Overweight
71,5.1,31,Female,Moderately Active,Vegetarian,Overweight
71,5.1,31,Female,Moderately Active,Vegetarian,Overweight
72,5.4,28,Female,Moderately Active,Non Vegetarian,Overweight
68,5.4,25,Female,Lightly Active,Vegetarian,Overweight
76,5.3,26,Female,Lightly Active,Non Vegetarian,Overweight
56,5.2,27,Female,Lightly Active,Vegetarian,Normal
100,5.6,30,Female,Moderately Active,Non Vegetarian,Obese
98,5.95,46,Male,Lightly Active,Vegetarian,Overweight
70.5,5.2,26,Female,Lightly Active,Vegetarian,Overweight
66,5.2,34,Female,Sedentary,Vegetarian,Overweight
87,5.4,45,Female,Moderately Active,Non Vegetarian,Obese
82,5.3,26,Female,Sedentary,Non Vegetarian,Obese
84,5.4,29,Female,Sedentary,Non Vegetarian,Obese
63.2,5.3,20,Female,Moderately Active,Vegetarian,Normal
82,5.4,30,Female,Sedentary,Vegetarian,Obese
73,5.3,34,Female,Very Active,Eggetarian,Overweight
96,5.5,34,Female,Lightly Active,Non Vegetarian,Obese
92,5.11,29,Female,Sedentary,Non Vegetarian,Obese
84,5.2,42,Female,Sedentary,Non Vegetarian,Obese
83,5.5,23,Female,Lightly Active,Non Vegetarian,Overweight
84,5.1,28,Female,Sedentary,Non Vegetarian,Obese
93,5.5,29,Female,Sedentary,Non Vegetarian,Obese
67.4,5.1,37,Female,Lightly Active,Non Vegetarian,Overweight
77.6,5.1,39,Female,Lightly Active,Eggetarian,Obese
80,5.3,30,Female,Sedentary,Vegetarian,Obese
90,5.4,39,Female,Very Active,Non Vegetarian,Obese
110,5.4,34,Female,Sedentary,Non Vegetarian,Obese
88,5.8,26,Female,Sedentary,Vegetarian,Overweight
103,5.6,23,Female,Lightly Active,Vegetarian,Obese
69,5.3,30,Female,Moderately Active,Vegetarian,Overweight
62,5.1,33,Male,Moderately Active,Non Vegetarian,Overweight
96,5.6,50.5,Female,Sedentary,Non Vegetarian,Obese
85,5.4,27,Female,Sedentary,Non Vegetarian,Obese
81.6,5.2,37,Female,Sedentary,Non Vegetarian,Obese
118.5,5.7,32,Female,Moderately Active,Eggetarian,Obese
94.1,5.6,27,Female,Sedentary,Non Vegetarian,Obese
70,5.3,32,Female,Sedentary,Vegetarian,Overweight
70,5.3,32,Female,Sedentary,Vegetarian,Overweight
70,5.3,32,Female,Sedentary,Vegetarian,Overweight
70,5.3,32,Female,Sedentary,Vegetarian,Overweight
75,5.6,31,Female,Lightly Active,Non Vegetarian,Overweight
102.8,5.4,31,Female,Sedentary,Vegetarian,Obese
91,5.5,29,Female,Lightly Active,Vegetarian,Obese
79.5,5.45,29,Female,Sedentary,Non Vegetarian,Overweight
67.4,5.1,37,Female,Lightly Active,Non Vegetarian,Overweight
76.8,5,33,Female,Sedentary,Non Vegetarian,Obese
81,4.75,35,Female,Sedentary,Non Vegetarian,Obese
71,5.4,38,Female,Moderately Active,Vegetarian,Overweight
67,5.3,27,Female,Moderately Active,Eggetarian,Overweight
94,5.95,36,Female,Sedentary,Non Vegetarian,Underweight
74.5,5.3,40,Female,Lightly Active,Non Vegetarian,Overweight
74.5,5.3,40,Female,Lightly Active,Non Vegetarian,Overweight
89,5.3,43,Female,Sedentary,Eggetarian,Obese
94,5.2,36,Female,Sedentary,Non Vegetarian,Obese
94,5.5,33,Female,Very Active,Vegetarian,Obese
93,5.5,38,Female,Sedentary,Vegetarian,Obese
93,5,33,Female,Sedentary,Non Vegetarian,Obese
89.56,5.3,36,Female,Lightly Active,Non Vegetarian,Obese
78,5.4,25,Female,Lightly Active,Non Vegetarian,Overweight
90,5.3,25,Female,Sedentary,Non Vegetarian,Obese
97,5.4,39,Female,Sedentary,Vegetarian,Obese
81,5.3,38,Female,Moderately Active,Non Vegetarian,Obese
78,5.3,39,Female,Moderately Active,Non Vegetarian,Overweight
82,5.4,41,Female,Sedentary,Vegetarian,Obese
85,5.4,32,Female,Sedentary,Vegetarian,Obese
86,5,35,Female,Sedentary,Eggetarian,Obese
82,5.4,41,Female,Sedentary,Vegetarian,Obese
59.7,5.1,27,Female,Lightly Active,Vegetarian,Normal
79,4.75,35,Female,Moderately Active,Vegetarian,Obese
103,5.4,40,Female,Lightly Active,Vegetarian,Obese
80,5.3,19,Female,Sedentary,Vegetarian,Obese
86,5.6,30,Female,Lightly Active,Eggetarian,Overweight
90,5.6,32,Female,Moderately Active,Non Vegetarian,Obese
77.5,5.5,43,Male,Very Active,Vegetarian,Overweight
76,5.7,39,Male,Sedentary,Non Vegetarian,Overweight
76,5.7,39,Male,Sedentary,Non Vegetarian,Overweight
88,5,27,Female,Moderately Active,Non Vegetarian,Obese
67,5,28,Female,Lightly Active,Vegetarian,Overweight
66,5.2,29,Female,Lightly Active,Eggetarian,Overweight
66,5.2,29,Female,Lightly Active,Eggetarian,Overweight
81,5.6,47,Female,Moderately Active,Vegetarian,Overweight
85,5.3,27,Female,Sedentary,Non Vegetarian,Obese
84.7,5,50.5,Female,Sedentary,Non Vegetarian,Obese
88,5.3,29,Female,Lightly Active,Eggetarian,Obese
85.6,5.2,31,Female,Lightly Active,Vegetarian,Obese
88,5.3,29,Female,Lightly Active,Eggetarian,Obese
72,5.7,34,Female,Lightly Active,Non Vegetarian,Normal
83.5,5.2,50.5,Female,Lightly Active,Vegetarian,Obese
105,5.5,28,Female,Sedentary,Non Vegetarian,Obese
90,5.1,34,Female,Moderately Active,Non Vegetarian,Obese
73,5.3,28,Female,Sedentary,Vegetarian,Overweight
118.5,5.1,26,Male,Lightly Active,Non Vegetarian,Obese
67.55,5.4,30,Female,Sedentary,Vegan,Normal
108,5.4,28,Female,Sedentary,Non Vegetarian,Obese
72,5.7,42,Female,Moderately Active,Vegetarian,Normal
105,5.5,28,Female,Sedentary,Non Vegetarian,Obese
85.4,5.5,38,Female,Moderately Active,Vegetarian,Obese
85.4,5.5,38,Female,Moderately Active,Vegetarian,Obese
72,5.5,36,Female,Lightly Active,Non Vegetarian,Overweight
80,5.2,32,Female,Sedentary,Eggetarian,Obese
70,5.2,38,Female,Lightly Active,Non Vegetarian,Overweight
64,5.2,29,Female,Sedentary,Eggetarian,Overweight
86,5.8,27,Female,Sedentary,Non Vegetarian,Overweight
64.5,5.4,34,Female,Lightly Active,Non Vegetarian,Normal
64.5,5.4,34,Female,Lightly Active,Non Vegetarian,Normal
95.5,5.3,25,Female,Lightly Active,Non Vegetarian,Obese
